categoria,metonimia,w
reportage,254.57564380064355,2244
editorial,256.40300255300195,2241
reviews,234.46358363858297,2342
religion,233.24144189144175,2317
skills & hobbies,232.22511377511273,2370
popular lore,263.7263361638353,2258
belles lettres,239.3655889861766,2359
miscellaneous,279.4144463379755,2316
learned,255.34532828282812,2334
general fiction,224.02988677988614,2345
mistery and detective fiction,256.1841630591622,2331
science fiction,255.78526473526452,2369
adventure and western fiction,228.39717504717478,2279
romance and love story,261.2546370296359,2546
